achy	ache	40.8.2	0
addicted	addict	96	4
adherent	adhere	22.5	0
adopted	adopt	29.1 93 29.2	0
afraid	fear	31.3, 31.2-1	86
aged	age	45.4	2
aggravating	aggravate	31.1	0
agitated	agitate	31.1	1
alarming	alarm	31.1	1
alive	live	47.1-1 46 39.6	15
amazed	amaze	31.1	39
amazing	amaze	31.1	39
ambulatory	ambulatory	51.3.2	0
amplified	amplify	45.4 37.12	0
amusing	amuse	31.1	1
angry	anger	31.1	29
annoyed	annoy	31.1	45
annoying	annoy	31.1	45
antagonistic	antagonize	31.1	1
appalled	appall	31.1	6
appalling	appall	31.1	6
apparent	appear	109	6
appealing	appeal	31.4-3	3
appearing	appear	109	6
appreciated	appreciate	31.2	1
appreciative	appreciate	31.2	1
approximately	approximate	34.2 54.4	0
armored	armor	13.4.2-1-1	1
ascending	ascend	47.7	0
ashamed	shame	31.1	7
asleep	sleep	40.4	25
associated	associate	amalgamate-22.2-2	0
assured	assure	37.13 99 37.9	3
astonished	astonish	31.1	2
astonishing	astonish	31.1	2
astounding	astound	31.1	2
atrophic	atrophy	45.5	0
attainable	attainable	13.5.1	0
attenuated	attenuate	45.4	0
awesome	awe	31.1	94
biased	bias	96	6
blurry	blur	45.4	0
bored	bore	21.2-2	0
bored	bore	31.1	0
boring	bore	31.1	0
bossy	boss	29.8-1	0
bothered	bother	31.1 40.8.1	3
bothersome	bother	31.1 40.8.1	3
bound_up	bound_up	9.8 22.3-2-1	0
breaded	bread	9.9	0
broken	break	45.1	0
broke	break	45.1	0
bustling	bustle	47.5.1-1	0
calcified	calcify	45.4	0
centered	center	87.1	0
certified	certify	29.2	0
civilized	civilize	45.4	6
clear	clear	45.4	49
clearer	clear	45.4	49
clingy	cling	22.5	1
collusive	collude	71	0
comfortable	comfortable	31.1	0
committed	commit	79 92-1	7
comparable	comparable	22.2-2	0
competitive	compete	36.4-1	3
complete	complete	55.2	3
concealed	conceal	16	0
concerned	concern	31.1	27
concerning	concern	31.1	27
conclusive	conclude	97.2	2
conditioned	condition	41.2.2	0
conflicted	conflict	36.4-1	0
conflictive	conflict	36.4-1	0
confused	confuse	amalgamate-22.2-2 amuse-31.1	34
confusing	confuse	amalgamate-22.2-2 amuse-31.1	34
connected	connect	22.1-2-1 22.4	2
considered	consider	29.9-1-1-1	0
consuming	consume	66	1
content	content	31.1	1
contributive	contribute	13.2-1-1	0
contributory	contribute	13.2-1-1	0
conversant	converse	37.6	0
convinced	convince	31.1	7
convincing	convince	31.1	7
cooked	cook	45.3 26.3-1 26.1	1
coping	cope	83-1	0
correct	correct	45.5	33
correlated	correlate	22.2-2-1 86.1	0
corrupt	corrupt	45.4	6
crowded	crowd	9.7-1-1	5
crushed	crush	21.2-1 42.3 45.1 31.1	0
curled	curl	9.6-1 41.2.2	0
damaged	damage	44	1
damaging	damage	44	1
daunting	daunt	31.1	0
decompressed	decompress	45.4	0
decreased	decrease	45.4	0
dedicated	dedicate	79	2
defined	define	29.2-1-1 48.1.2	0
deformed	deform	26.6.1	0
delayed	delay	53.1-1	0
dependent	depend	70	8
depressed	depress	31.1	24
depressing	depress	31.1	24
descended	descend	47.7	0
desirable	desirable	32.1-1-1	0
destructive	destroy	44	0
developed	develop	26.1	3
deviated	deviate	23.4	0
diagnostic	diagnose	29.2	0
diffuse	diffuse	45.4	0
diminished	diminish	45.4	0
disappointed	disappoint	31.1	3
disappointing	disappoint	31.1	3
discovered	discover	84 30.2 29.5-2	0
disgraceful	disgrace	31.1	0
disgruntled	disgruntle	31.1	0
disgusted	disgust	31.1	5
disgusting	disgust	31.1	5
disheartened	dishearten	31.1	0
dispiriting	dispirit	31.1	0
distended	distend	45.2	0
distorted	distort	26.5	0
distracted	distract	31.1	0
distracting	distract	31.1	0
distressed	distress	31.1	2
disturbing	disturb	31.1	0
divided	divide	23.1-1 45.4	2
divisive	divide	23.1-1 45.4	2
divorced	divorce	36.2	1
dominant	dominate	47.8-2	1
dominated	dominate	47.8-2	1
doped_up	dope_up	9.8	0
drained	drain	10.3-1 45.4	0
dressed	dress	41.1.1	6
dressed_up	dress_up	41.3.2	0
drippy	drip	9.5	1
driven	drive	51.4.2	0
drowsy	drowse	40.4	1
dyed	dye	41.2.2 24	0
educated	educate	37.9	5
elevated	elevate	9.4	0
elusive	elude	52	0
embarrassed	embarrass	31.1	11
embarrassing	embarrass	31.1	11
employed	employ	13.5.3	2
encouraging	encourage	31.1 102 77.1	0
encouraging	encourage	37.9 58.1-1-1	0
enhancing	enhance	45.4	0
enlarged	enlarge	45.4	0
enlightening	enlighten	31.1	0
entangled	entangle	22.2-2 9.8	1
entertained	entertain	31.1	0
equipped	equip	13.4.2-1	0
equivocal	equivocate	53.1	0
exalted	exalt	31.2	0
excited	excite	31.1	39
exciting	excite	31.1	39
exhausted	exhaust	31.1	17
exhausting	exhaust	31.1	17
existent	exist	39.6 47.1-1	0
expanded	expand	45.4	0
expectative	expect	62 29.5-1	0
experienced	experience	30.2	1
expired	expire	48.2	0
exudative	exude	43.4	0
fascinating	fascinate	31.1	0
fatigued	fatigue	31.1	0
favorable	favor	31.2	0
favourable	favor	31.2	0
fearful	fear	31.3, 31.2-1	86
finished	finish	55.4-1	7
flat	flat	21.2-1	0
flustered	fluster	31.1	0
focused	focus	focus-87.1	0
fractured	fracture	40.8.3-1-1 45.1	0
freezing	freeze	45.4 57	3
frightening	frighten	31.1	0
frustrated	frustrate	31.1	3
frustrating	frustrate	31.1	3
full	fill	9.8 45.4 47.8	37
functional	function	29.6	1
furious	furious	31.1	0
glad	glad	31.1 45.4	0
glistening	glisten	43.1	0
gone	go	51.1	27
gusty	gust	57	0
happy	happy	31.1	147
hard	hard	45.4	0
harder	hard	45.4	0
hateful	hate	31.2-1	0
healed	heal	45.4	1
heated	heat	45.4 45.3	22
hemorrhagic	hemorrhage	40.1.3	0
hesitant	hesitate	53.1	5
hopeless	hopeless	32.2-1 62	0
horriffic	horrify	31.1	0
humid	humid	45.4	0
humiliated	humiliate	31.1	0
hungry	hunger	32.2-1	19
hydrated	hydrate	45.4	0
impaired	impair	31.1	0
impressed	impress	31.1	18
impressive	impress	31.1	18
improved	improve	45.4	1
independent	independent	70	9
indicative	indicate	78-1	1
indurated	indurate	45.4	0
infected	infect	9.8	1
infested	infest	9.8	0
inflamed	inflame	31.1	1
inflammatory	inflame	31.1	1
informative	inform	37.2 37.9	1
informed	inform	37.2 37.9	1
ingrained	ingrain	25.1	0
injured	injure	40.8.3-2	1
innovative	innovate	55.5	0
insensitive	insensitive	30.1-1	4
inspected	inspect	35.4 30.2	0
inspirational	inspire	27.1-1, 31.1	3
inspired	inspire	27.1-1, 31.1	3
inspiring	inspire	27.1-1, 31.1	3
insulated	insulate	9.9	0
insulting	insult	33.1-1, 31.1	3
intentional	intend	61.1 61.2-1-1 62	1
intentioned	intend	61.1 61.2-1-1 62	1
interested	interest	31.1	115
interesting	interest	31.1	115
intermixed	intermix	22.1-1	0
interspersed	intersperse	22.2-2-1 9.8	0
intimidated	intimidate	31.1	3
intimidating	intimidate	31.1	3
intrigued	intrigue	31.1	0
intriguing	intrigue	31.1	0
invited	invite	102	0
involved	involve	86.2-1 103	24
irritable	irritable	31.1	0
isolated	isolate	16 29.10	0
itching	itch	40.8.1	0
itchy	itch	40.8.1	0
jammed	jam	9.7-1-1 40.8.3	1
justified	justify	37.1.1	3
knowledgeable	know	87.2-1 29.5-1 29.9-1-1	10
known	know	87.2-1 29.5-1 29.9-1-1	10
limited	limit	76	13
lived	live	47.1-1 46 39.6	15
living	live	47.1-1 46 39.6	15
locked	lock	22.4	1
lodged	lodge	9.1 9.10-1	0
looking	look	30.4	0
lost	lose	13.2	0
lying	lie	47.6 50	0
maimed	maim	44	1
manifest	manifest	48.1.2	0
marked	mark	29.1	0
married	marry	36.2 22.2-3-1-1	17
missed	miss	31.2	1
missing	miss	31.2	1
misunderstood	misunderstand	87.2	0
mobilizing	mobilize	45.4	0
molten	melt	26.5 45.4	0
mortified	mortify	31.1	0
muddled	muddle	31.1 22.2-2	0
muffled	muffle	42.3	0
murdered	murder	42.1	0
muted	mute	45.7	0
mutilated	mutilate	44	0
myelosuppressed	myelosuppress	16 42.3	0
myelosuppressive	myelosuppress	16 42.3	0
narrowed	narrow	45.4	0
nauseated	nauseate	31.1	0
needed	need	32.1-1-1 103	1
nonexistent	nonexistent	47.1-1	2
nourished	nourish	42.3	1
null	null	106	0
objectionable	objectionable	37.8	0
obsessed	obsess	31.1, 31.3	2
obsessional	obsess	31.1, 31.3	2
offended	offend	31.1	9
offensive	offend	31.1	9
oiled_up	oil_up	9.9	0
ongoing	go_on	55.1	0
opacified	opacify	45.4	0
opening	open	45.4 40.3.2 47.6	18
opposed	oppose	22.2-3	10
organized	organize	26.4 55.5-1	6
ossified	ossify	45.4	0
outraged	outrage	31.1	0
outrageous	outrage	31.1	0
overwhelmed	overwhelm	31.1	1
overwhelming	overwhelm	31.1	1
paid	pay	68-1	0
pained	pain	31.1 40.8.1	2
painful	pain	31.1 40.8.1	2
paralyzed	paralyze	45.4	0
parched	parch	45.3	0
passed	pass	47.7 48.3	0
perished	perish	48.2	1
persistent	persist	47.1-1	3
pleased	please	31.1	20
pleasing	please	31.1	20
predominant	predominate	47.1-1	0
preferable	prefer	32.1-1-1 31.2	0
preferential	prefer	32.1-1-1 31.2	0
pregnant	impregnate	9.8	16
prepared	prepare	55.5-1	3
preserved	preserve	85	0
pressed	press	12-1-1	0
pressing	press	12-1-1	0
presumptive	presume	29.5-1	0
progressive	progress	45.5	0
promising	promise	13.3	1
prosperous	prosper	47.1-1 39.6	0
proven	prove	29.4-1-1 97.2 78-1-1	0
provocative	provoke	31.1, 27.1-1	0
provoking	provoke	31.1, 27.1-1	0
publicized	publicize	45.4	0
puzzled	puzzle	31.1	0
puzzling	puzzle	31.1	0
qualified	qualify	29.6	1
reaching	reach	13.5.1 51.8	0
reassuring	reassure	31.1	0
received	receive	13.5.2	0
reconstituted	reconstitute	26.4-1	0
reduced	reduce	76 42.3	0
referring	refer	13.2	0
relaxing	relax	31.1	3
relieved	relieve	31.1	1
remarried	remarry	22.2-3-1-1	0
repellent	repel	31.1	0
replied	reply	37.7	0
resentful	resent	31.2	0
resonant	resonate	47.4	0
respectful	respect	31.2	0
restrained	restrain	76	0
retired	retire	82-3 10.11	0
rushed	rush	51.3.2-2-1	2
satisfied	satisfy	31.1	5
scared	scare	31.1	21
seasoned	season	9.8	0
sensitive	sensitive	30.1-1	0
severable	severable	23.1 10.1	0
shameful	shame	31.1	7
shaped	shape	26.1-1 48.1.2	0
shocked	shock	31.1	10
shocking	shock	31.1	10
sickening	sicken	40.8.4 31.1 45.4	26
sounding	sound	30.4	0
specific	specify	29.2	3
split	split	23.2	0
stable	stable	45.5	0
starving	starve	40.7	0
stifling	stifle	42.3 40.7	0
stopped	stop	55.4-1	0
stricken	strike	18.1-1 18.4-1	0
stunned	stun	31.1	0
stunning	stun	31.1	0
stupefied	stupefy	31.1	0
successful	succeed	74-1	10
suggestive	suggest	37.7-1-1	0
supportive	support	31.2 47.8	0
supposed	suppose	29.9-2	0
surprised	surprise	31.1	22
surprising	surprise	31.1	22
suspicious	suspect	29.9-2 81 29.5-1	0
swollen	swell	45.5	1
sympathetic	sympathize	88.2	0
tanned	tan	45.4	0
targeted	target	98	0
tempted	tempt	31.1	0
tempting	tempt	31.1	0
tense	tense	45.4	2
terrified	terrify	31.1	4
terrifying	terrify	31.1	4
thirsty	thirst	32.2-1	0
threatening	threaten	31.1	0
thrilled	thrill	31.1	0
thrilling	thrill	31.1	0
tinged	tinge	9.8	0
tired	tire	31.1 45.4	42
torn	tear	23.2 45.1 40.8.3-1-1	4
trapped	trap	9.10	1
travelled	travel	51.3.2-1	0
troubled	trouble	31.1	1
tunneling	tunnel	35.5-1	0
ulcerated	ulcerate	45.4	0
ultrafiltered	ultrafilter	45.4	0
understanding	understand	accept-77.1 comprehend-87.2-1	1
unhappy	unhappy	31.1	8
unheard	unheard	84-1-1 30.1-1-1	1
united	unite	22.2-2-1 22.1-2-1	0
unlocked	unlock	23.3	0
untrustly	untrustly	31.2	0
upset	upset	31.1	43
upsetting	upset	31.1	43
valuable	valuable	54.4	0
valuable	value	54.4 31.2	1
variable	vary	23.4 45.4	0
variant	vary	23.4 45.4	0
varied	vary	23.4 45.4	0
ventilated	ventilate	45.4	0
westernised	westernize	45.4	0
widowed	widow	29.7	0
worried	worry	31.1	36
worrisome	worry	31.1	36
worrying	worry	31.1	36
wounded	wound	31.1	0
